n_total,likelihood,repeat,mse,coverage,ci_width,wall_time_s,rhat,neff
576,wdm,0,0.2137136605064696,0.8913043478260869,1.7484653532735503,2.102756332955323,1.0091014879663665,297.41969040583194
576,wdm,1,0.1976076723776534,0.8932806324110671,1.654286060648092,1.786047417030204,1.004013657811288,329.9391814446346
576,wdm,2,0.215453489386613,0.8952569169960475,1.690288771818529,1.89566099998774,1.0041833221983314,417.4192678172358
576,wdm,3,0.204409253090164,0.9150197628458498,1.6715709042264473,1.784307666006498,1.012348777645682,360.1629021795648
576,wdm,4,0.1766809961812636,0.9130434782608696,1.6545848647043468,1.896604874986224,1.002009974316582,299.80438139622436
576,wdm,5,0.2093114362057817,0.9150197628458498,1.6703982596911298,1.8103484999737705,1.015043862995044,299.5010106156467
576,wdm,6,0.260662350010692,0.8517786561264822,1.6303425992249567,1.8543475420447064,1.0028056229698294,436.44627971949103
576,wdm,7,0.2445556403114425,0.8774703557312253,1.7080079772952608,1.9555581660242751,1.0041968632512115,352.75442724951114
576,wdm,8,0.2279026494792496,0.8735177865612648,1.6789969415503252,1.7966740420088172,1.0001854045137577,306.7689199765359
576,wdm,9,0.1536039933476148,0.9209486166007904,1.724449097999145,1.7974701669882052,1.002488548000331,388.59821262361817
576,wdm,10,0.1869658600883367,0.8992094861660079,1.7142101756541113,1.938744749990292,1.0007679575136217,458.1248035533035
576,wdm,11,0.1915567411527282,0.8972332015810277,1.7177725086354587,1.798493749985937,1.0037262560866167,258.4495015385844
576,wdm,12,0.1690803513747915,0.9229249011857708,1.6793078282823937,1.9138019160018305,1.0020262690274506,335.7795608806917
576,wdm,13,0.1557734009567123,0.9189723320158104,1.7052899151903222,1.7980204170453362,1.0023496277810806,550.2480538211634
576,wdm,14,0.230206988590101,0.8181818181818182,1.5816818415211935,1.823884125042241,1.0002420015413822,352.48579583042147
576,wdm,15,0.236032545297272,0.8873517786561265,1.639390253196719,1.9625884590204803,1.0027556866050469,461.1985955277261
576,wdm,16,0.322921345267225,0.849802371541502,1.7236033530089108,1.831776583974715,0.9991232835350724,396.81279822804305
576,wdm,17,0.1933129530144291,0.9110671936758892,1.6680794429506405,1.809425249986816,1.001915551216373,545.3105942476723
576,wdm,18,0.1996724162352507,0.9268774703557312,1.695452819025658,1.7704301250050776,1.0014920887969805,423.9780976731912
576,wdm,19,0.2518315945090764,0.8102766798418972,1.675134346442475,1.9941002080449832,1.000156482724705,573.5621708459552
576,wdm,20,0.1746077076727063,0.932806324110672,1.712206670491187,1.7956612500129268,1.0063080691200337,394.00463131820567
576,wdm,21,0.1927494553052592,0.9011857707509882,1.6821626515988093,1.7917423750041053,1.0041628969848166,461.09249219692185
576,wdm,22,0.2244855137070846,0.883399209486166,1.683116558050137,1.818147209007293,0.9988482248717184,493.8812647925646
576,wdm,23,0.187159257585927,0.8992094861660079,1.6985357077832517,1.806912541971542,0.9993909425860468,564.3991555417398
576,wdm,24,0.21865772314265,0.8675889328063241,1.66473392108688,1.8361298749805428,1.0090992736435105,382.4736329071498
576,wdm,25,0.20591310839249,0.8893280632411067,1.6246999942259146,1.7957923330250196,1.0096444218842189,265.57366915718507
576,wdm,26,0.1962981458772674,0.9347826086956522,1.7149222884762598,1.8628252079943195,1.0052956809572755,497.2142276851641
576,wdm,27,0.1587717342052745,0.9130434782608696,1.621371049872097,1.8493776250397784,1.003547034603806,340.0093645570303
576,wdm,28,0.2229582439694446,0.9031620553359684,1.7582136686145866,1.8841857920051552,1.0100937930286715,443.8022696839178
576,wdm,29,0.124731637339488,0.9347826086956522,1.7376437001388516,2.029693791992031,1.0024365686474583,329.40018202499806
576,wdm,30,0.1873207382078203,0.883399209486166,1.6935503928225957,1.814259000006132,0.9992973728747856,400.1797492136528
576,wdm,31,0.1447594522759065,0.9367588932806324,1.669155087402771,1.7855806250008754,1.0050750291981287,500.9916883193426
576,wdm,32,0.1687628158391514,0.8952569169960475,1.6217873337987387,1.799932208028622,1.0010817897084638,460.16463014439034
576,wdm,33,0.215565419073785,0.8537549407114624,1.6524759798717656,1.7844897920149378,1.0078078149246528,321.6006067807725
576,wdm,34,0.145376571223145,0.9367588932806324,1.653105517985344,1.7878734999685548,1.0019363448147545,533.3037105757568
576,wdm,35,0.2686323220376478,0.8774703557312253,1.7958488513529742,1.8708842499763705,1.0022078056719763,503.33898596114454
576,wdm,36,0.2102774943114416,0.8972332015810277,1.6323476199099107,1.9694345829775557,1.0022959227221526,249.9875399260411
576,wdm,37,0.2154557628782926,0.8754940711462451,1.6664309643397823,1.8142440419760533,1.002952810133109,444.4724059058558
576,wdm,38,0.236381791680971,0.9011857707509882,1.7096857746972252,1.8713887089979837,1.0040468696216438,432.1010763481185
576,wdm,39,0.2587314585686247,0.8735177865612648,1.747870292313212,1.918525624962058,1.001957794245122,333.10930781387975
576,wdm,40,0.2707607256135034,0.8754940711462451,1.710571775369105,1.859379084024113,1.007419421239225,325.6097204051239
576,wdm,41,0.1793196808612081,0.9011857707509882,1.689245204459176,1.8895231670467183,1.0032100977568703,419.4840277503602
576,wdm,42,0.1596573623501107,0.9466403162055336,1.744318836044551,1.891894374974072,1.0068660692234237,300.8359929610411
576,wdm,43,0.2156667379629567,0.9209486166007904,1.739226334944814,1.907096958020702,1.0084205013569445,382.2972666222143
576,wdm,44,0.2100156318974628,0.9110671936758892,1.7693234575508303,1.9802864160155875,1.0005632366007298,454.8299131443304
576,wdm,45,0.1948880117521855,0.9031620553359684,1.6743057243038102,1.914449208008591,1.0044266048768702,393.3858751323233
576,wdm,46,0.2261001665208772,0.8853754940711462,1.6597300665735737,1.8764231249806471,0.9993141425067568,345.0963919653365
576,wdm,47,0.201375375033794,0.8913043478260869,1.632306661444647,1.9169704589876344,1.0139636314661222,372.4475381315766
576,wdm,48,0.1725646019636532,0.924901185770751,1.6758346047324726,1.9280357910320165,1.0084701345553366,375.882603248988
576,wdm,49,0.1857578990181979,0.9031620553359684,1.7553507332395415,2.404652542027179,1.0116923423689816,309.83632064595446
576,wdm,50,0.1900053577566215,0.9426877470355732,1.727127450416684,1.9347002919530496,0.9993967407821374,337.5156016975625
576,wdm,51,0.1254103839163862,0.9446640316205532,1.6551564308004658,1.933184999972582,1.0002288779318984,426.5365763612175
576,wdm,52,0.2286891953866856,0.8754940711462451,1.7260345495364091,1.9068022909923457,1.000974509909242,356.14579962576886
576,wdm,53,0.1594261146765005,0.9288537549407114,1.6754564769349596,1.9504655839991756,1.0061757881590154,362.8224728681379
576,wdm,54,0.2102102915928061,0.8656126482213439,1.6534763019970369,1.8951512500061656,1.015770056132415,409.2918459784866
576,wdm,55,0.3162842447899952,0.8399209486166008,1.6849465696344,1.9614757500239648,1.0029834202834378,269.0287837528792
576,wdm,56,0.1582620320256984,0.8992094861660079,1.62990223073865,1.869919624994509,1.0127310717880085,414.58827946893354
576,wdm,57,0.3159584108120769,0.8063241106719368,1.7261029971890618,1.8467505000298845,1.0019058878157885,473.4796852810431
576,wdm,58,0.1859852745620747,0.9229249011857708,1.682789347569147,2.3938160829711705,0.9992875911024806,499.6241445053435
