n_total,likelihood,repeat,mse,coverage,ci_width,wall_time_s,rhat,neff
576,wdm,0,0.19915631412413523,0.8873517786561265,1.731091702114804,3.4292237090412527,1.0045540766005727,458.25896335488676
576,wdm,1,0.19740892719842104,0.9051383399209486,1.6613792174196003,2.022685750038363,1.0023686948377468,435.5025195164872
576,wdm,2,0.21964518127059107,0.8932806324110671,1.6913759927170828,2.055683374986984,1.007773791623936,322.41056581021786
576,wdm,3,0.20226255800072332,0.9189723320158103,1.6786622770133943,2.05975291703362,1.005074591206491,442.4779569666291
576,wdm,4,0.1811463763042008,0.9130434782608695,1.65740193665354,2.147176209022291,1.0011750064382439,286.7731928582086
576,wdm,5,0.20719899200037217,0.9150197628458498,1.6743629449203894,2.1922976669156924,1.0092713152956518,377.9686513732299
576,wdm,6,0.262311567762149,0.8478260869565217,1.6286118843892126,2.0693938329350203,1.0006350566215994,478.76522571517984
576,wdm,7,0.23799227033465883,0.8774703557312253,1.70887660606027,2.192284542019479,1.002402597044064,331.43479978640715
576,wdm,8,0.23666536441900873,0.8596837944664032,1.683540856087308,2.225971791893244,1.001262894632685,284.0482728415618
576,wdm,9,0.1530169553693904,0.9150197628458498,1.7321761395899917,2.241177208023146,1.0042508897346485,413.5462102952644
576,wdm,10,0.1847744281686008,0.9031620553359684,1.716769684822362,2.1769787919474766,0.9999859783085762,383.70537279329307
576,wdm,11,0.19432145168692272,0.8853754940711462,1.7381116996897452,2.222249791957438,0.9988874708888303,393.88108857182556
576,wdm,12,0.16937733371283584,0.9229249011857708,1.6790509670638372,2.0497292910004035,0.9986436760416744,371.06527025084426
576,wdm,13,0.14989359221461723,0.9150197628458498,1.6792671950649538,2.1725364580051973,1.0024203536922542,635.9852801306453
576,wdm,14,0.22846934336964606,0.8260869565217391,1.5774705206166246,2.109138833009638,1.0033630482312654,406.50439965513885
576,wdm,15,0.23591505837460425,0.883399209486166,1.6375274427228157,2.0113983750343323,1.0060313726089598,300.5996552690478
576,wdm,16,0.3233229016909383,0.841897233201581,1.7240828721739008,2.2136861250037327,1.0008616353575295,397.64523413168337
576,wdm,17,0.19343893029547554,0.9150197628458498,1.6703227547828705,2.1379936250159517,1.0084063316018863,399.20883583911854
576,wdm,18,0.19527114756386404,0.9189723320158103,1.7259839385506706,2.0660470000002533,1.002883372793076,262.85759075982713
576,wdm,19,0.2519848879915786,0.8142292490118577,1.6772273634379247,2.213431749958545,1.0008517032202833,553.4387758595515
576,wdm,20,0.1547973705982766,0.9169960474308301,1.6437945999216559,1.9469279170734808,1.006437482095396,387.9168516872663
576,wdm,21,0.18991034718862515,0.9071146245059288,1.6803212104562872,2.0167918750084937,1.0050713455304248,482.0254659334269
576,wdm,22,0.21060841532298846,0.8873517786561265,1.6756845569465115,2.1299740410177037,1.0048249450911866,339.89279488173594
576,wdm,23,0.1937870296478387,0.9090909090909091,1.7121401159140963,2.170038584037684,1.0001767247446485,513.3887480257513
576,wdm,24,0.22138677850909166,0.8735177865612648,1.6637228250311005,2.121329791028984,1.0035585412339314,432.907524907596
576,wdm,25,0.20691022338599724,0.8873517786561265,1.6196632497175618,2.0921667920192704,1.0042585616646127,335.04230194803864
576,wdm,26,0.19598285639104,0.9347826086956522,1.7221282598639251,2.299617709009908,1.0030289934814403,486.97445725831614
576,wdm,27,0.15749927915760709,0.9229249011857708,1.6242506314659388,2.1509831249713898,1.0064584843959414,355.9786490383705
576,wdm,28,0.22971684257297076,0.8992094861660079,1.7730958930730163,2.164434291073121,1.0039492853733818,483.5186541573153
576,wdm,29,0.12993807926141104,0.9347826086956522,1.7646383337490104,2.2081439159810543,1.0053019994630108,361.917696214135
576,wdm,30,0.1856718220703523,0.883399209486166,1.6996813509453408,2.242803458007984,1.0003438542388217,422.57235494955665
576,wdm,31,0.14429289146370344,0.9347826086956522,1.6506775675556102,2.0704103340394795,1.0060912463445446,401.812053152422
576,wdm,32,0.16595852814430573,0.9031620553359684,1.6387854878529222,2.130467833019793,1.0036477544771467,485.59089909537005
576,wdm,33,0.21481856871095728,0.8616600790513834,1.6594862107307624,2.1229043330531567,1.0057444706715382,350.14478752790103
576,wdm,34,0.14158146145509828,0.932806324110672,1.6410233653985613,2.2699462909949943,1.0021646341431742,653.2590756953612
576,wdm,35,0.2741220060712552,0.8695652173913043,1.776059515091628,2.153989000013098,1.0037043128501586,319.22240155227945
576,wdm,36,0.21225149734981383,0.8932806324110671,1.6322628116390332,2.1302706251153722,1.000904932512824,303.2300041752924
576,wdm,37,0.21576020001780133,0.8695652173913043,1.6585571099586414,2.073664458002895,1.0026160848594077,471.6757964677979
576,wdm,38,0.24553104919247865,0.9090909090909091,1.7455353117492813,2.1477873750263825,1.00364221857674,308.3602378608289
576,wdm,39,0.24145295527545632,0.8715415019762845,1.7029465413921794,2.1646105829859152,1.0046980583520113,382.87434621373126
576,wdm,40,0.27306651539191995,0.8636363636363636,1.6969117637948612,2.090842750039883,1.008785155784773,430.9293121957097
576,wdm,41,0.17602760652497926,0.9011857707509882,1.6850866229582133,2.111010125023313,1.0025948438911885,421.8785310677643
576,wdm,42,0.15849359562560994,0.950592885375494,1.7332370740821337,2.113971917075105,1.01423536103658,299.10702603219505
